iter	Passed	Remaining
0	0	40
1	0	39
2	1	38
3	1	34
4	1	34
5	2	33
6	2	33
7	2	33
8	3	32
9	3	32
10	3	32
11	4	31
12	4	33
13	5	32
14	5	32
15	5	31
16	6	31
17	6	30
18	7	30
19	7	29
20	7	29
21	8	28
22	8	28
23	8	27
24	9	27
25	9	27
26	9	26
27	10	26
28	10	26
29	10	25
30	11	25
31	11	24
32	12	24
33	12	24
34	12	23
35	13	23
36	13	23
37	13	22
38	14	22
39	14	22
40	15	21
41	15	21
42	15	20
43	16	20
44	16	20
45	16	19
46	17	19
47	17	18
48	17	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	20	16
55	20	16
56	21	15
57	21	15
58	22	15
59	22	14
60	22	14
61	23	14
62	23	13
63	24	13
64	24	13
65	25	13
66	25	12
67	26	12
68	26	11
69	28	12
70	28	11
71	29	11
72	29	10
73	29	10
74	30	10
75	30	9
76	30	9
77	31	8
78	31	8
79	32	8
80	32	7
81	33	7
82	33	6
83	34	6
84	34	6
85	35	5
86	35	5
87	35	4
88	36	4
89	36	4
90	37	3
91	38	3
92	39	2
93	39	2
94	40	2
95	40	1
96	40	1
97	41	0
98	41	0
99	42	0
