iter	Passed	Remaining
0	58	58764
1	59	29582
2	59	19915
3	60	15059
4	60	12122
5	61	10179
6	62	8814
7	62	7769
8	63	6960
9	63	6310
10	64	5801
11	65	5378
12	65	4993
13	66	4672
14	66	4384
15	67	4137
16	67	3917
17	68	3726
18	68	3548
19	69	3393
20	69	3250
21	70	3117
22	70	3000
23	71	2897
24	71	2794
25	72	2708
26	72	2618
27	73	2539
28	73	2465
29	74	2398
30	74	2340
31	75	2280
32	76	2239
33	76	2185
34	77	2134
35	78	2104
36	78	2054
37	80	2035
38	80	1994
39	81	1956
40	82	1920
41	82	1891
42	83	1859
43	84	1832
44	84	1801
45	85	1772
46	85	1741
47	86	1713
48	87	1688
49	87	1662
50	87	1635
51	88	1610
52	88	1586
53	89	1566
54	89	1543
55	90	1520
56	90	1502
57	91	1482
58	91	1464
59	92	1456
60	93	1441
61	94	1424
62	94	1411
63	95	1393
64	95	1378
65	96	1363
66	97	1351
67	97	1336
68	98	1325
69	98	1312
70	99	1300
71	99	1288
72	100	1274
73	100	1260
74	101	1247
75	101	1235
76	101	1222
77	102	1212
78	103	1201
79	103	1191
80	104	1180
81	104	1169
82	104	1155
83	105	1148
84	105	1139
85	106	1131
86	106	1122
87	107	1116
88	108	1106
89	108	1098
90	109	1091
91	109	1082
92	110	1076
93	111	1070
94	111	1062
95	111	1054
96	112	1046
97	112	1039
98	113	1032
99	114	1026
100	114	1019
101	115	1013
102	115	1006
103	116	999
104	116	993
105	117	988
106	117	981
107	118	977
108	118	972
109	119	966
110	119	959
111	120	953
112	120	948
113	121	943
114	122	939
115	122	933
116	122	926
117	123	924
118	124	918
119	124	912
120	124	907
121	125	903
122	126	898
123	126	895
124	127	890
125	127	886
126	128	880
127	128	875
128	129	873
129	130	871
130	130	867
131	131	863
132	131	859
133	132	858
134	133	853
135	133	850
136	134	846
137	134	842
138	135	837
139	135	835
140	136	830
141	137	833
142	138	829
143	139	826
144	139	822
145	140	819
146	140	816
147	141	813
148	141	809
149	142	805
150	142	803
151	143	800
152	143	796
153	144	793
154	144	790
155	145	788
156	146	785
157	146	782
158	147	779
159	147	775
160	148	771
161	148	767
162	148	764
163	149	762
164	149	759
165	150	755
166	150	752
167	151	750
168	151	746
169	152	744
170	153	742
171	153	739
172	154	736
173	154	735
174	155	732
175	155	730
176	156	727
177	157	725
178	157	722
179	158	721
180	159	719
181	159	716
182	159	713
183	160	710
184	160	708
185	161	706
186	162	704
187	162	702
188	163	699
189	163	696
190	163	694
191	164	691
192	164	689
193	165	687
194	165	685
195	166	682
196	166	679
197	167	677
198	167	674
199	167	671
200	168	669
201	168	666
202	169	664
203	169	662
204	170	660
205	170	657
206	171	655
207	171	653
208	172	651
209	172	649
210	173	647
211	173	644
212	173	642
213	174	640
214	174	638
215	175	636
216	175	634
217	176	632
218	176	630
219	177	627
220	177	626
221	178	624
222	178	621
223	178	619
224	179	617
225	179	616
226	180	614
227	180	612
228	181	611
229	182	610
230	182	608
231	183	607
232	183	605
233	184	603
234	184	601
235	185	602
236	186	600
237	187	599
238	187	597
239	188	596
240	188	594
241	189	592
242	189	591
243	190	589
244	190	588
245	191	586
246	191	585
247	192	583
248	192	581
249	193	579
250	193	577
251	194	576
252	194	575
253	195	573
254	195	572
255	196	569
256	196	568
257	197	567
258	197	565
259	198	565
260	199	564
261	199	562
262	200	561
263	200	560
264	201	558
265	201	557
266	202	556
267	203	554
268	203	553
269	204	552
270	204	550
271	205	549
272	205	547
273	206	546
274	207	546
275	207	545
276	208	544
277	209	543
278	209	542
279	210	541
280	210	539
281	211	538
282	211	536
283	212	535
284	212	533
285	213	532
286	213	530
287	213	528
288	214	527
289	214	525
290	214	523
291	215	522
292	215	520
293	216	518
294	216	517
295	216	515
296	218	516
297	218	515
298	219	515
299	221	516
300	222	515
301	222	514
302	222	512
303	223	511
304	223	509
305	224	509
306	224	507
307	225	506
308	225	505
309	226	503
310	226	502
311	227	502
312	228	500
313	228	500
314	229	498
315	229	497
316	230	496
317	231	495
318	231	494
319	232	493
320	232	491
321	233	490
322	233	489
323	234	488
324	234	487
325	234	485
326	235	484
327	236	483
328	236	482
329	237	481
330	237	480
331	238	480
332	239	479
333	239	478
334	240	476
335	240	475
336	241	474
337	241	473
338	242	471
339	242	470
340	242	469
341	243	468
342	243	467
343	244	466
344	245	465
345	245	464
346	246	463
347	246	462
348	247	461
349	247	460
350	248	460
351	249	459
352	250	458
353	250	457
354	250	455
355	251	454
356	252	454
357	252	453
358	253	452
359	254	451
360	254	450
361	255	449
362	255	448
363	256	447
364	256	446
365	257	445
366	257	444
367	258	443
368	258	442
369	259	441
370	259	440
371	260	439
372	260	438
373	261	437
374	261	436
375	261	434
376	262	433
377	262	432
378	263	431
379	263	430
380	263	428
381	264	427
382	265	427
383	266	426
384	266	426
385	267	425
386	268	424
387	268	423
388	268	422
389	269	421
390	270	420
391	270	419
392	271	418
393	271	417
394	272	416
395	272	415
396	273	414
397	273	413
398	274	412
399	274	411
400	275	411
401	275	410
402	276	409
403	276	408
404	277	407
405	277	406
406	278	405
407	278	404
408	279	403
409	279	402
410	280	401
411	281	401
412	281	400
413	282	399
414	282	398
415	283	397
416	283	396
417	283	395
418	284	394
419	285	394
420	285	393
421	286	392
422	286	391
423	287	390
424	288	389
425	288	388
426	289	388
427	289	387
428	290	386
429	290	385
430	291	384
431	291	383
432	291	382
433	292	381
434	292	380
435	293	379
436	294	378
437	294	377
438	294	376
439	295	376
440	295	375
441	296	374
442	296	373
443	297	372
444	298	371
445	298	370
446	298	369
447	299	369
448	299	368
449	300	367
450	300	366
451	301	365
452	301	364
453	302	363
454	302	362
455	303	361
456	303	360
457	304	359
458	304	358
459	304	358
460	305	357
461	306	356
462	306	355
463	307	354
464	307	353
465	308	353
466	309	352
467	309	352
468	310	351
469	310	350
